Job Title,Job Description,Skills,Source
Healthcare Website + Mobile App (iOS & Android) Development with AI Integration,"We are looking for a professional software development agency to design and build a comprehensive healthcare platform consisting of a web portal and mobile apps (iOS & Android). The system must be secure, scalable, AI-powered, and compliant with healthcare regulations (HIPAA/GDPR).

⚡ Important: Agencies must provide a workflow document & system flowchart with their proposal. Proposals without a clear workflow will not be considered.

Project Scope
1. Web Platform (Healthcare Website)

Modern, responsive design with patient & doctor portals

Appointment booking & scheduling system

Online consultation (video conferencing integration)

Secure electronic health record (EHR) management

Medical report uploads, prescriptions & document sharing

Role-based access (Admin, Doctor, Patient, Staff)

Billing & invoicing with integrated payment gateway

Dashboard & advanced analytics for admins/doctors

2. Mobile Applications (iOS & Android)

Native or cross-platform (React Native / Flutter)

Patient-side features: appointment booking, medical history, AI-powered symptom checker, chat & video consultation, reminders, payments

Doctor-side features: AI-assisted diagnosis suggestions, schedule management, patient records access, prescription management

Push notifications (appointments, test results, medication reminders)

Offline mode for limited access

3. Integrations

Payment gateway (Stripe / Razorpay / PayPal)

Telemedicine/video consultation (Zoom API / Twilio / Vonage)

SMS/Email notifications

Wearable/fitness tracker API (Fitbit, Apple Health, Google Fit – optional)

AI modules (custom or via APIs like OpenAI, AWS HealthAI, or Google Cloud Healthcare)

4. Security & Compliance

HIPAA/GDPR compliance

Encrypted patient data storage

Secure authentication (OAuth 2.0 / JWT / MFA)

Audit logs & activity monitoring

5. Admin & Reporting Panel

Role-based management for staff, doctors, and patients

Real-time analytics & reports (appointments, revenue, patient engagement)

Inventory & pharmacy module (optional add-on)

AI-driven predictive analytics (patient trends, hospital resource usage, appointment forecasting)

AI Features (Key Differentiator)

AI Symptom Checker: Patients enter symptoms → AI suggests possible conditions & urgency.

AI Health Assistant Chatbot: 24/7 patient support, FAQs, triage assistance.

Predictive Analytics: Forecast patient demand, identify high-risk patients, optimize scheduling.

Medical Report Analysis: AI-driven extraction & summarization of lab/test reports.

Doctor Support: AI-assisted prescription recommendations based on medical records & history.

Personalized Health Insights: Fitness, lifestyle, and medication adherence recommendations using AI + wearable data.

Technology Stack (Preferred, open to suggestions)

Frontend: React.js / Vue.js

Backend: Node.js (Express) / Django / FastAPI

Mobile Apps: React Native / Flutter

Database: PostgreSQL / MySQL (with encryption)

AI/ML: Python (TensorFlow, PyTorch, scikit-learn) | APIs (OpenAI, AWS HealthAI, Google Cloud AI)

Cloud Hosting: AWS / GCP / Azure (with AI & ML services)

DevOps: Docker, Kubernetes, CI/CD pipeline

Agency Requirements

Must be a registered agency on Upwork (individual freelancers will not be considered)

Proven track record of delivering AI-powered healthcare or fintech projects

Experience with HIPAA/GDPR compliant apps is a strong plus

Team should include: Project Manager, UI/UX Designer, Backend Developer, Frontend Developer, Mobile Developer(s), QA Engineer, DevOps Engineer, AI/ML Engineer

Ability to provide post-launch support & maintenance

Deliverables

Fully functional website & mobile apps with AI modules integrated

Documentation (technical + user guide)

Source code & deployment setup

6 months free maintenance & support

Proposal Instructions

When applying, please include:

Workflow document outlining how you will execute the project.

System flowchart / architecture diagram (include AI modules placement).

Portfolio of relevant healthcare or AI-powered projects.

Estimated timeline & milestone breakdown.","Python, Android, User Profile Creation, Mobile App Development, Android App Development, Artificial Intelligence, React Native, FastAPI",jobs.json
Supabase to local development,"I was using Supabase to develop my MVP, but the free trial was quickly exceeded. That’s why I want to switch to local development and hosting.","Supabase, Web Development",jobs.json
Video Shooting Specialist Needed,"We are seeking a talented videographer to shoot engaging videos for our project. The ideal candidate should have experience in filming high-quality content, working with various types of equipment, and an eye for detail. You will be responsible for capturing dynamic footage that aligns with our vision. If you have a passion for storytelling through video and can bring creativity to the table, we would love to hear from you. Please include examples of your previous work in your application.","Videography, Video Production, Video Editing, Video Commercial, Video Post-Editing",jobs.json
Recruiter for Marketing & Product Engineering Roles (Delhi NCR),"Job Description:
We are looking for an experienced recruiter based in Delhi NCR to help us close multiple open positions across marketing and product engineering. This is a hybrid role — while most work will be remote, we may meet in person occasionally (around once a week).

Responsibilities:
	•	Source, screen, and shortlist candidates for open roles in both marketing and product engineering.
	•	Focus on hiring for a marketing agency as well as a SaaS company.
	•	Manage the recruitment lifecycle: job posting, candidate outreach, interviews, and closing.
	•	Build and maintain a pipeline of qualified candidates for SEO, digital marketing, content, paid media, product engineers, and other relevant roles.
	•	Use AI-driven tools and modern recruiting techniques to improve efficiency in sourcing and evaluation.
	•	Coordinate with hiring managers to align on requirements and provide regular updates.

Requirements:
	•	Proven experience as a recruiter, ideally in both marketing and technical roles.
	•	Demonstrated success closing SEO and digital marketing roles.
	•	Experience recruiting for product engineering positions.
	•	Familiarity with AI tools (e.g., sourcing automation, candidate screening AI, etc.).
	•	Strong communication and organizational skills.
	•	Based in Delhi NCR with the ability to meet in person occasionally.

Nice to Have:
	•	Prior experience recruiting for B2B SaaS companies.
	•	Network of pre-vetted candidates in marketing or tech.

Engagement Details:
	•	Freelance/contract basis.
	•	Expected to work closely with our leadership team.
	•	Flexible hours, with weekly sync meetings (remote or in-person).

TO APPLY: Can you please record a quick video about your and your experience?","Recruiting, Candidate Interviewing, Sourcing, Candidate Evaluation, Candidate Source List, Resume Screening",jobs.json
B-Roll Footage of John Deere S Series or STS Series Combine During Harvest,"I am seeking a videographer to capture high-quality B-roll footage of a John Deere S Series or STS Series combine harvester.

Project Requirements:
Footage Duration: At least 30 minutes of usable B-roll footage.

Footage Content:
Primary footage should capture the combine actively harvesting in the field.
Supplemental footage of the combine parked in a farm/rural setting will also be accepted.
Capture a variety of angles and perspectives (wide shots, close-ups, moving shots, groud-level, drone, etc.) to provide flexibility for editing.

File Format: Final deliverables must be submitted in .mp4 format.

Model Verification: Videographer must confirm the exact combine model before shooting to ensure accuracy.

Ideal Candidate:
Access to farms or operators using John Deere S Series or STS Series Combine Harvesters.
Experience filming agricultural or industrial equipment.
Ability to deliver clear, steady, and professional-quality footage.

How to Apply:
Confirm that you have access to a John Deere S Series or STS Series Combine Harvester.
Share any relevant examples of past videography work.
Provide your estimated timeline for capturing and delivering the footage.","Lifestyle, Nature, Product Photography, Videography",jobs.json
"Shopify Apps Developer (Long-Term, Ongoing Work)","We’re a small team behind two growing Shopify apps - and we’re looking for an experienced Shopify Apps Developer to join us on a freelance basis. This is a long-term opportunity for someone who can jump in, move fast, and help us keep improving our apps for thousands of Shopify merchants.

What You’ll Work On:
	•	Adding and refining features inside our apps (e.g., banner placements, UI/UX improvements).
	•	Troubleshooting and fixing customer-reported issues.
	•	Working with APIs, Shopify App Bridge, and Shopify’s checkout/cart system.
	•	Improving stability, performance, and code quality.
	•	Collaborating with our team to ship updates quickly and reliably.

Requirements:
	•	Proven experience developing Shopify apps (please share examples).
	•	Strong skills in Shopify API, GraphQL, REST, Liquid, Polaris, App Bridge.
	•	Proficiency in Node.js and React (our stack).
	•	Ability to debug and fix issues efficiently.
	•	Good communication skills and responsiveness.","Liquid, Node.js, React, Shopify Apps, JavaScript, GraphQL, REST API",jobs.json
Video Editor // Short-Form Video 42+ videos per week,"JOSEPHA is a shopping app that helps users find the lowest price for any product in seconds. We have scaled our entire user base with short-form video content on social media. We have found out that certain content formats consistently go viral. We create these content formats in bulk and distribute them on social media channels. 

Process: 
We film the content and then hand it over to you. There is an exact playbook on how to edit each one of the content formats. 

For each editing task you will be provided with the following material: 
- raw content
- text of the hook
- the last of texts of the video are always how much the person saved and shortly after “JOSEPHA App”
- style of the hook
- audio guidance: audio is in 95% of the cases the background noise of the specific scene

Deliverable: 
Each week, you need to edit 42 videos strictly according to our playbook. From our experience, it takes about 15 minutes to edit 1 video since the editing is always the same: cutting, pacing, adding text and making the background noise as the audio. 

Examples:

Below, I give you 2 examples so that you get a feeling of what the raw content and the final videos look like: 

Example 1: 
- Raw Content: https://drive.google.com/file/d/1x2fa6itg8hnfhIjne616U44Dbs0F2EpD/view?usp=sharing 
- Final viral video: https://www.instagram.com/reel/DMiuQK6gvTD/ 


Example 2: 
- Raw Content: https://drive.google.com/file/d/1E99iMq0ERT_6I1DzPhe57TB9CDvfO14z/view?usp=sharing 
- Final viral video: https://www.instagram.com/sparfuchs_deutschland/ 

Application: 
In order to consider your application, send me links to three editing projects you have done. Also, start your application with “Hello Sparfuchs” so we know you read the full brief.",Video Editing,jobs.json
Sales Deck Development for Dhar Mann Studios,"Core Skills Required:
Technical Design Expertise
	•	Strong command of design software (PowerPoint, Keynote, Adobe Creative Suite, Figma, or similar).
	•	Ability to build clean, polished layouts that work across both in-person presentations and PDF distribution.
Sales Deck Structuring & Storytelling
	•	Understanding of how to structure a persuasive sales deck: clear opening, narrative arc, supporting evidence, and strong close.
	•	Ability to collaborate on content flow and refine slides for maximum clarity and impact.
	•	Skilled in translating strategic messaging into a compelling visual journey.
Visual Storytelling & Emotional Design
	•	Sophisticated, modern design aesthetic that communicates trust and ambition.
	•	Ability to use imagery, typography, and layout to tell an emotional story—not just decorate slides.
	•	Experience designing infographics and data visuals, with judgment on when to use them vs. when to keep slides minimal.
Please submit three sales decks that you have designed in the last six months.","Sales, Lead Generation",jobs.json
English Voiceover Artist Needed for Ads,We are seeking a talented English voiceover artist to provide a clear and engaging voice for a short Ads. The ideal candidate will have experience in voice acting and a strong command of the English language.,"Voice Acting, Voice-Over, Audio Production",jobs.json
Retool Build-out and AWS Setup for Microsoft Intune dashboards,"Scope of work
- Migrate POC to Retool for added scalability.
- Set up architecture in AWS and Microsoft Entra.
- Create and manage API access across Retool, AWS, and Microsoft 365.
- Integrate 1Password for secure access management.
- Knowledge in Intune or Microsoft Graph is a plus.

Cloud management expertise
Migration, Configuration, Development

Cloud computing resources
Azure App Service, Cloud SQL, VPC, EC2

Cloud service provider
Amazon Web Services, Microsoft Azure","Microsoft Azure, DevOps, Amazon Web Services, Azure App Service, Azure DevOps, Microsoft Active Directory, Deployment Automation, Microsoft Windows PowerShell",jobs.json
Graphic Designer – Real Estate Offering Memorandum Brochure,"Job Description:
We are seeking a talented Graphic Designer to create a high-quality, visually compelling Offering Memorandum (OM) brochure for commercial real estate land listings, specifically targeting freeway-adjacent locations such as truck stops, travel centers, and fuel stations.

The ideal candidate will have experience designing real estate investment packages or marketing brochures and can turn raw property data into a professional, easy-to-digest marketing document.

Responsibilities:
	•	Design and layout a polished Offering Memorandum brochure (8–12 pages)
	•	Incorporate site plans, maps, aerials, demographic data, traffic counts, and key investment highlights
	•	Collaborate with our real estate and marketing teams to align branding and messaging
	•	Create visually compelling and investor-friendly layouts using provided content and imagery
	•	Ensure final design is print-ready and optimized for PDF distribution

Requirements:
	•	Proven experience in graphic design (real estate or commercial property marketing preferred)
	•	Proficiency in Adobe InDesign, Illustrator, and Photoshop
	•	Understanding of real estate marketing concepts and investor presentations
	•	Ability to interpret raw property data and transform it into strong visual materials
	•	Attention to detail, layout, typography, and brand consistency
	•	Strong communication skills and ability to meet deadlines

Preferred:
	•	Experience with truck stop, gas station, or freeway land brochures
	•	Portfolio with relevant Offering Memorandum samples


Please provide sample work examples.","Brochure, Graphic Design",jobs.json
B-Roll Footage of John Deere X9 Combine Harvester During Harvest,"I am seeking a videographer to capture high-quality B-roll footage of a John Deere X9 combine harvester.

Project Requirements:
Footage Duration: At least 30 minutes of usable B-roll footage.

Footage Content:
Primary footage should capture the combine actively harvesting in the field.
Supplemental footage of the combine parked in a farm/rural setting will also be accepted.
Capture a variety of angles and perspectives (wide shots, close-ups, moving shots, ground level, drone, etc.) to provide flexibility for editing.

File Format: Final deliverables must be submitted in .mp4 format.

Model Verification: Videographer must confirm the exact combine model before shooting to ensure accuracy.

Ideal Candidate:
Access to farms or operators using John Deere X9.
Experience filming agricultural or industrial equipment.
Ability to deliver clear, steady, and professional-quality footage.

How to Apply:
Confirm that you have access to a John Deere X9 Combine Harvester.
Share any relevant examples of past videography work.
Provide your estimated timeline for capturing and delivering the footage.","Lifestyle, Nature, Product Photography, Videography",jobs.json
Build a Simple React Native Onboarding Flow,"Hey 

We’re looking for a React Native developer to build a small MVP version of our new app.
This early build will have around 5–7 simple screens and is focused on helping users personalize their experience by selecting a few preferences when they open the app for the first time.

We already have a basic layout designed in Figma.

Scope of Work

Set up a new React Native (Expo is okay) project

Splash / Welcome screen with logo

3–4 onboarding screens where users select their preferences (each screen will show a few options as buttons)

“Next” button to move to the next step

Final screen that shows a short summary like: “Thanks! Based on your preferences we’ll personalize your experience” (static content is fine for now)

Basic validation (user must select at least one option before moving ahead)

Important

The UI needs to be super clean, modern, and easy to understand

No backend needed for this phase — local state is fine

This is a short-term MVP, but there’s potential for long-term work as we plan to add more functionality after this phase

Skills Required
React Native (functional components + hooks)
React Navigation
Basic form / state handling
Ability to work from Figma design
Good sense of clean, accessible UI

If you’re interested, please send:
1️⃣ A couple of similar React Native apps you’ve built (onboarding / preference or step-based flows)
2️⃣ Your estimated timeline and rate","Mobile App Development, React Native, Firebase",jobs.json
Thumbnail Designer for YouTube Channel,"Looking to hire an experienced Thumbnail Designer for a ‘Travel Tricks’ related YouTube Channel. Videos similar to:

https://www.youtube.com/@globalflow8
https://www.youtube.com/@PassportProfficial

If you have experience in designing thumbnails for faceless YouTube channels and have a passion for Travel, then feel free to apply and let's talk more details!

This is a long term collaboration with a good payment structure possible.

Looking forward to working with you,
Chris","Adobe Photoshop, Social Media Imagery, Graphic Design, YouTube, Adobe Illustrator, Logo Design, Photo Editing, Brand Identity & Guidelines, Illustration, Banner Ad Design",jobs.json
Design ChatGPT Cheat Sheet in Canva,"Project Overview:
I need a graphic designer to create a professional-looking cheat sheet and prompt guide for bakers using ChatGPT. This will be part of a wider digital product offering and used as both a reference guide and lead magnet for my baking business.

What I'll Provide:
- Complete written content (all text ready to go)
- 25 ready-to-use prompts
- Visual inspiration document showing style direction
- Brand preferences/requirements

What I Need:
2 designs created in Canva:
Main cheat sheet/guide
Prompt reference sheet with instructions (25 prompts displayed clearly)


Clean, professional layout optimized for readability
Text-focused design with minimal graphics
Simple visual elements like arrows, flow indicators, icons
Easy-to-scan sections with clear hierarchy
Print-friendly and digital-friendly versions
Editable Canva files shared with me
Design that can integrate cohesively with other digital product materials

Design Requirements:
- Professional appearance suitable for business use and digital product sales
- NOT a direct copy of inspiration - your own interpretation
- Emphasis on typography and layout over heavy graphics
- Logical flow with visual guides (arrows, numbered steps)
- Colour scheme that works for baking/food industry
- Mobile-friendly readability
- Consistent design language that can be applied to future materials
- Prompt sheet should allow for easy copying/scanning of individual prompts

Timeline: 1-3 days preferred
Budget: $50-100 (negotiable based on experience)
To Apply:

Share 2-3 examples of text-heavy designs you've created
Confirm you're comfortable working in Canva
Brief note on your approach to organizing complex information visually

Looking for someone who can make information digestible and professional without over-designing. Clean and functional is the goal!","Canva, Website Asset, Ebook, Graphic Design, Infographic, Print Design, Brochure, Adobe Illustrator",jobs.json
Ebay Store Manager & Customer Profile Specialist,"We are looking for an experienced eBay Store Manager to oversee our online store operations, optimize listings, and enhance customer profiles. The ideal candidate will be responsible for managing inventory, handling customer inquiries, and ensuring a seamless shopping experience. Your expertise in eBay's best practices will be essential for driving sales and improving customer satisfaction. If you have a passion for e-commerce and a track record of success on eBay, we would love to hear from you!","Customer Service, Data Entry, eBay Marketing, Customer Support",jobs.json
Power BI Dashboard Development for Microsoft Authenticator & Passkey,"We are seeking an expert Power BI developer to create a comprehensive dashboard for Microsoft Authenticator and Passkey monitoring in Entra ID. The ideal candidate should have a strong understanding of Power BI integration with Microsoft services. You will be tasked with visualizing data related to user authentication metrics and trends effectively. Your insights will help enhance security and user experience. Please share your portfolio demonstrating similar projects you've completed.

Objectives

Centralised Reporting: Consolidate Entra ID authentication method data into a single dashboard.
Adoption Tracking: Measure enrollment rates for Microsoft Authenticator, FIDO2 keys, and Passkeys.
Gap Identification: Identify users and departments without MFA or passwordless enrollment.
Compliance Alignment: Support compliance monitoring for ACSC Essential 8 (MFA control) and passwordless strategy.
Executive Insights: Provide high-level KPIs and trends for leadership and security teams.

Scope

Data Source Integration
Connect Power BI to Entra ID / Graph API reports 
Extract user enrollment, device registration, and authentication method usage data.

Dashboard Development
KPIs: % enrolled in MFA, % using Authenticator, % using Passkeys, % still on SMS/voice.

Visuals:
Pie chart of authentication methods by user.
Trend line for passkey adoption over time.
Table of unenrolled / non-compliant users.
Filters: Department, role, location.

Governance & Reporting
Map results against Essential 8 maturity for MFA.
Define monthly adoption targets and thresholds.
Enable exportable compliance snapshots for audit.","Microsoft Power BI, Data Visualization, Data Analysis, Microsoft Excel, Microsoft Azure",jobs.json
Seeking Payload Expert with Resend Experience,"We are looking for a skilled professional who is highly knowledgeable about payload functions. The ideal candidate should have experience working with Resend, as this is a significant aspect of our project. 

Your expertise will help us optimize processes and enhance performance. If you're passionate about developing efficient solutions and have a strong background in this area, we would love to hear from you. Please include examples of your previous work that demonstrate your capabilities in Payload and Resend.","Node.js, React, PostgreSQL, JavaScript, Python, C++, Java, PHP",jobs.json
